2013-03-04: Total users: 5515, Non-zero FROM: 502, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-05: Total users: 5520, Non-zero FROM: 502, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-06: Total users: 5525, Non-zero FROM: 502, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-07: Total users: 5533, Non-zero FROM: 503, Geocoded(active): 380(219), Cities(active): 113(83)
2013-03-08: Total users: 5536, Non-zero FROM: 503, Geocoded(active): 380(218), Cities(active): 113(83)
2013-03-09: Total users: 5539, Non-zero FROM: 504, Geocoded(active): 381(219), Cities(active): 113(84)
2013-03-10: Total users: 5540, Non-zero FROM: 504, Geocoded(active): 381(220), Cities(active): 113(84)
2013-03-11: Total users: 5543, Non-zero FROM: 504, Geocoded(active): 381(219), Cities(active): 113(84)
2013-03-12: Total users: 5550, Non-zero FROM: 505, Geocoded(active): 381(218), Cities(active): 113(84)
2013-03-13: Total users: 5553, Non-zero FROM: 506, Geocoded(active): 381(218), Cities(active): 113(84)
2013-03-14: Total users: 5559, Non-zero FROM: 507, Geocoded(active): 382(218), Cities(active): 113(84)
2013-03-15: Total users: 5566, Non-zero FROM: 507, Geocoded(active): 382(218), Cities(active): 113(84)
2013-03-16: Total users: 5575, Non-zero FROM: 509, Geocoded(active): 383(219), Cities(active): 113(84)
2013-03-17: Total users: 5580, Non-zero FROM: 511, Geocoded(active): 383(219), Cities(active): 113(84)
2013-03-18: Total users: 5586, Non-zero FROM: 511, Geocoded(active): 384(220), Cities(active): 113(84)
2013-03-19: Total users: 5591, Non-zero FROM: 511, Geocoded(active): 384(220), Cities(active): 113(84)
2013-03-20: Total users: 5597, Non-zero FROM: 514, Geocoded(active): 386(222), Cities(active): 113(84)
2013-03-21: Total users: 5605, Non-zero FROM: 514, Geocoded(active): 386(222), Cities(active): 113(84)
2013-03-22: Total users: 5612, Non-zero FROM: 514, Geocoded(active): 386(222), Cities(active): 113(84)
2013-03-23: Total users: 5620, Non-zero FROM: 514, Geocoded(active): 386(222), Cities(active): 113(84)
2013-03-24: Total users: 5626, Non-zero FROM: 514, Geocoded(active): 386(221), Cities(active): 113(84)
2013-03-25: Total users: 5631, Non-zero FROM: 514, Geocoded(active): 386(221), Cities(active): 113(84)
2013-03-26: Total users: 5639, Non-zero FROM: 514, Geocoded(active): 386(221), Cities(active): 113(84)
2013-03-27: Total users: 5647, Non-zero FROM: 514, Geocoded(active): 386(221), Cities(active): 113(84)
2013-03-28: Total users: 5659, Non-zero FROM: 515, Geocoded(active): 387(223), Cities(active): 113(84)
2013-03-29: Total users: 5667, Non-zero FROM: 516, Geocoded(active): 388(223), Cities(active): 114(85)
2013-03-30: Total users: 5674, Non-zero FROM: 516, Geocoded(active): 388(224), Cities(active): 114(85)
2013-03-31: Total users: 5675, Non-zero FROM: 516, Geocoded(active): 388(224), Cities(active): 114(85)
2013-04-01: Total users: 5684, Non-zero FROM: 516, Geocoded(active): 388(224), Cities(active): 114(85)
2013-04-02: Total users: 5686, Non-zero FROM: 516, Geocoded(active): 388(225), Cities(active): 114(85)
2013-04-03: Total users: 5689, Non-zero FROM: 516, Geocoded(active): 388(224), Cities(active): 114(85)
2013-04-04: Total users: 5697, Non-zero FROM: 518, Geocoded(active): 390(224), Cities(active): 116(87)
2013-04-05: Total users: 5704, Non-zero FROM: 518, Geocoded(active): 390(224), Cities(active): 116(87)
2013-04-06: Total users: 5708, Non-zero FROM: 518, Geocoded(active): 390(224), Cities(active): 116(87)
2013-04-07: Total users: 5713, Non-zero FROM: 518, Geocoded(active): 390(224), Cities(active): 116(87)
2013-04-08: Total users: 5719, Non-zero FROM: 518, Geocoded(active): 390(224), Cities(active): 116(87)
2013-04-09: Total users: 5727, Non-zero FROM: 519, Geocoded(active): 391(225), Cities(active): 116(87)
2013-04-10: Total users: 5732, Non-zero FROM: 520, Geocoded(active): 392(226), Cities(active): 116(87)
2013-04-11: Total users: 5733, Non-zero FROM: 520, Geocoded(active): 392(226), Cities(active): 116(87)
2013-04-12: Total users: 5740, Non-zero FROM: 520, Geocoded(active): 392(226), Cities(active): 116(87)
2013-04-13: Total users: 5744, Non-zero FROM: 520, Geocoded(active): 392(225), Cities(active): 116(86)
2013-04-14: Total users: 5746, Non-zero FROM: 520, Geocoded(active): 392(225), Cities(active): 116(86)
2013-04-15: Total users: 5746, Non-zero FROM: 520, Geocoded(active): 392(225), Cities(active): 116(86)
2013-04-16: Total users: 5753, Non-zero FROM: 520, Geocoded(active): 392(225), Cities(active): 116(86)
2013-04-17: Total users: 5760, Non-zero FROM: 520, Geocoded(active): 392(226), Cities(active): 116(86)
2013-04-18: Total users: 5767, Non-zero FROM: 520, Geocoded(active): 392(224), Cities(active): 116(86)
